budget,genre,name,score,year
unknown,comedy,moving,6.1,1988
50000000,biography,goya's ghosts,6.9,2006
22500000,crime,nocturnal animals,7.5,2016
5000000,comedy,made,6.4,2001
30000000,biography,the new world,6.7,2005
115000000,action,star wars: episode ii - attack of the clones,6.6,2002
13000000,comedy,woo,3.9,1998
unknown,comedy,blame it on the bellboy,5.4,1992
8500000,fantasy,thinner,5.7,1996
unknown,action,sniper,6.1,1993
unknown,comedy,auntie danielle,7.3,1990
2000000,action,harsh times,6.9,2005
unknown,biography,prick up your ears,7.4,1987
unknown,comedy,cannonball fever,4.3,1989
unknown,comedy,career opportunities,5.9,1991
unknown,drama,the deep blue sea,6.3,2011
12000000,drama,one hour photo,6.8,2002
unknown,comedy,the associate,6.1,1996
unknown,comedy,soapdish,6.5,1991
unknown,crime,the morning after,6.0,1986
unknown,drama,the dead,7.4,1987
5000000,drama,tetro,6.9,2009
25000000,crime,clockers,6.9,1995
3000000,comedy,the opposite sex and how to live with them,4.9,1992
13000000,comedy,mannequin: on the move,4.1,1991
unknown,animation,princess mononoke,8.4,1997
73000000,crime,snake eyes,6.0,1998
unknown,action,angel town,5.0,1990
130000000,action,watchmen,7.6,2009
unknown,drama,mad love,5.3,1995
15000000,drama,the disappointments room,3.9,2016
unknown,crime,oliver twist,6.9,2005
155000000,action,terminator genisys,6.5,2015
unknown,horror,three... extremes,7.0,2004
unknown,horror,orphan,7.0,2009
unknown,comedy,big business,6.3,1988
1000000,comedy,bubba ho-tep,7.2,2002
unknown,comedy,sammy and rosie get laid,6.7,1987
7500000,action,man-thing,4.0,2005
20000000,drama,proof,6.8,2005
125000000,action,the bourne legacy,6.7,2012
62000000,comedy,the american president,6.8,1995
unknown,action,son of rambow,7.0,2007
unknown,crime,sendero de sangre,7.0,2002
10000000,comedy,burke and hare,6.2,2010
210000,comedy,not of this earth,4.5,1988
13000000,animation,once upon a forest,6.5,1993
20000000,crime,the bank job,7.3,2008
25000000,comedy,nanny mcphee,6.6,2005
20000000,action,the take,6.3,2016
1500000,horror,el payaso del mal,5.7,2014
26000000,comedy,kindergarten cop,6.1,1990
unknown,drama,eternity and a day,7.9,1998
unknown,comedy,shall we dance?,7.8,1996
6500000,horror,annabelle,5.4,2014
unknown,drama,chalte chalte,6.6,2003
11000000,comedy,the perez family,6.1,1995
20000000,crime,appaloosa,6.8,2008
175000000,adventure,the jungle book,7.5,2016
6000000,drama,hell's kitchen,4.9,1998
unknown,comedy,detective school dropouts,5.8,1986
unknown,action,kaho naa... pyaar hai,6.9,2000
16000000,action,left behind,3.1,2014
15000000,comedy,mixed nuts,5.4,1994
30000000,comedy,the addams family,6.8,1991
unknown,drama,wild orchid ii: two shades of blue,3.7,1991
20000000,comedy,school for scoundrels,5.9,2006
10000000,comedy,margot at the wedding,6.1,2007
90000000,drama,contact,7.4,1997
50000000,crime,law abiding citizen,7.4,2009
10000000,drama,the red violin,7.7,1998
unknown,drama,everybody's all-american,6.2,1988
80000000,animation,legend of the guardians: the owls of ga'hoole,7.0,2010
unknown,comedy,the last circus,6.6,2010
unknown,drama,shy people,6.9,1987
38000000,comedy,sister act 2: back in the habit,5.4,1993
unknown,drama,dominick and eugene,7.1,1988
unknown,comedy,still crazy,7.1,1998
10900000,biography,belle,7.4,2013
14000000,comedy,freddy got fingered,4.5,2001
12500000,drama,the emperor's club,6.9,2002
unknown,comedy,totally f***ed up,6.1,1993
3500000,comedy,then she found me,6.0,2007
43000000,comedy,mr. saturday night,5.8,1992
3900000,adventure,fanboys,6.6,2009
40000000,comedy,a él no le gustas tanto,6.4,2009
unknown,adventure,lovewrecked,4.9,2005
60000000,comedy,duplicity,6.2,2009
unknown,comedy,zombeavers,4.8,2014
35000000,action,the cowboy way,5.8,1994
32000000,drama,dreamer: inspired by a true story,6.9,2005
55000000,comedy,mr. popper's penguins,6.0,2011
35000000,comedy,friends with benefits,6.6,2011
7000000,horror,house of 1000 corpses,6.0,2003
130000000,action,godzilla,5.3,1998
10000000,drama,the spanish prisoner,7.3,1997
unknown,crime,internal affairs,6.5,1990
20000000,comedy,my stepmother is an alien,5.2,1988
4000000,comedy,four rooms,6.7,1995
25000000,action,undercover brother,5.8,2002
70000000,crime,double jeopardy,6.4,1999
8000000,drama,shadow of the vampire,6.9,2000
12000000,biography,frida,7.4,2002
unknown,horror,anguish,6.7,1987
60000000,drama,at first sight,5.9,1999
160000000,action,warcraft: the beginning,6.9,2016
unknown,action,no retreat no surrender,5.6,1986
unknown,animation,care bears movie ii: a new generation,5.3,1986
7000000,comedy,bottle rocket,7.1,1996
12800000,crime,bailando en la oscuridad,8.0,2000
unknown,comedy,brainscan,6.1,1994
unknown,comedy,chameleon street,7.1,1989
75000000,action,inferno,6.2,2016
50000000,action,absolute power,6.7,1997
unknown,drama,laurel canyon,6.4,2002
45000000,crime,savages,6.5,2012
unknown,crime,equinox,5.7,1992
unknown,drama,flowers in the attic,5.7,1987
40000000,adventure,medicine man,6.0,1992
2700000,drama,ulee's gold,7.1,1997
500000,drama,may,6.7,2002
unknown,animation,jin-roh: the wolf brigade,7.5,1999
60000000,comedy,couples retreat,5.5,2009
unknown,comedy,pk,8.2,2014
6000000,biography,bleed for this,6.8,2016
unknown,comedy,the decoy bride,6.2,2011
45000000,action,deep rising,6.0,1998
43000000,adventure,toys,5.0,1992
unknown,drama,a little chaos,6.5,2014
48000000,crime,out of sight,7.0,1998
780000,action,saints and soldiers,6.8,2003
20000000,comedy,bratz,2.9,2007
105000000,action,starship troopers,7.2,1997
65000000,comedy,the kid,6.1,2000
12000000,adventure,nebraska,7.7,2013
7000000,crime,things to do in denver when you're dead,6.8,1995
86000000,action,the devil's own,6.1,1997
35000000,biography,the other boleyn girl,6.7,2008
4500000,action,a nightmare on elm street 3: dream warriors,6.6,1987
17000000,comedy,dickie roberts: former child star,5.6,2003
65000000,comedy,sex and the city,5.5,2008
30000000,comedy,about a boy,7.1,2002
unknown,crime,the stepfather,5.6,2009
92000000,action,a good day to die hard,5.3,2013
3000000,crime,running on empty,7.7,1988
unknown,action,black dog,5.3,1998
unknown,comedy,the gods must be crazy ii,6.8,1989
10000000,drama,frente al mar,5.2,2015
35000000,comedy,boys and girls,5.4,2000
3500000,comedy,the kids are all right,7.1,2010
unknown,adventure,zeus and roxanne,5.3,1997
10000000,comedy,while we're young,6.3,2014
55000000,action,stargate: la puerta del tiempo,7.1,1994
11000000,crime,heaven,7.1,2002
100000000,action,ben-hur,5.7,2016
unknown,crime,scene of the crime,6.9,1986
unknown,action,out of bounds,5.4,1986
unknown,drama,where angels fear to tread,6.6,1991
unknown,drama,open your eyes,7.8,1997
unknown,comedy,young einstein,5.1,1988
60000000,drama,the horse whisperer,6.6,1998
72500000,action,talladega nights: the ballad of ricky bobby,6.6,2006
unknown,comedy,i like it like that,6.8,1994
50000000,adventure,i dreamed of africa,5.6,2000
unknown,comedy,adventureland,6.8,2009
13500000,crime,the caveman's valentine,6.0,2001
21000000,comedy,swing vote,6.1,2008
27000000,drama,city of joy,6.4,1992
unknown,drama,fairytale: a true story,6.5,1997
40000000,action,the karate kid,6.2,2010
230000,comedy,clerks,7.8,1994
7000000,drama,anna,6.5,2013
39000000,comedy,josie and the pussycats,5.3,2001
140000000,animation,treasure planet,7.1,2002
35000000,horror,poltergeist,4.9,2015
1800000,drama,el último exorcismo,5.6,2010
unknown,action,year of the gun,5.7,1991
unknown,drama,ma mère,5.1,2004
unknown,comedy,one more saturday night,5.7,1986
unknown,animation,your name,8.5,2016
unknown,action,mcbain,4.7,1991
11000000,comedy,a midsummer night's dream,6.5,1999
unknown,drama,the rapture,6.4,1991
11000000,crime,vera drake,7.7,2004
13000000,action,the crow: city of angels,4.5,1996
18000000,crime,the informers,5.1,2008
unknown,drama,dancing at lughnasa,6.3,1998
33000000,action,austin powers: the spy who shagged me,6.6,1999
unknown,adventure,knights of badassdom,5.7,2013
22000000,crime,a bronx tale,7.8,1993
unknown,biography,queen margot,7.5,1994
20000000,drama,the contender,7.0,2000
unknown,crime,traces of red,5.2,1992
unknown,drama,garden party,5.6,2008
unknown,comedy,i'll see you in my dreams,6.7,2015
unknown,drama,not without my daughter,6.2,1991
8000000,drama,you got served,3.5,2004
15000000,comedy,where the heart is,6.8,2000
27000000,comedy,national lampoon's christmas vacation,7.6,1989
unknown,comedy,happy endings,6.5,2005
43000000,drama,finding forrester,7.3,2000
33000000,comedy,bringing down the house,5.6,2003
70000000,action,ballistic: ecks vs. sever,3.6,2002
unknown,horror,the terror within,4.9,1989
unknown,drama,fearless,7.1,1993
22000000,adventure,dances with wolves,8.0,1990
140000000,action,rush hour 3,6.2,2007
unknown,comedy,jack & sarah,6.6,1995
7000000,comedy,dope,7.3,2015
7000000,horror,cameron's closet,4.9,1988
160000000,animation,shrek the third,6.1,2007
unknown,action,ghajini,7.3,2008
84000000,comedy,nutty professor ii: the klumps,4.3,2000
10000000,horror,sinister 2,5.3,2015
10500000,horror,poltergeist iii,4.6,1988
unknown,biography,this boy's life,7.3,1993
unknown,drama,the experiment,7.8,2001
15000000,adventure,cool runnings,6.9,1993
30000000,comedy,27 dresses,6.1,2008
17000000,drama,the good son,6.4,1993
15000000,drama,macbeth,6.7,2015
unknown,comedy,the dressmaker,7.1,2015
unknown,crime,one false move,7.2,1992
21000000,drama,the beaver,6.7,2011
unknown,adventure,queen,8.3,2013
500000,drama,a separation,8.4,2011
10000000,comedy,on the line,4.1,2001
13000000,comedy,cousins,6.3,1989
30000000,comedy,baby mama,6.0,2008
17000000,biography,mcfarland usa,7.4,2015
4000000,drama,joe,6.9,2013
45000000,drama,the indian in the cupboard,5.9,1995
10000000,drama,presencia siniestra,4.7,2016
unknown,crime,the sunchaser,6.2,1996
75000000,animation,alvin and the chipmunks: chipwrecked,4.4,2011
50000000,comedy,american reunion,6.7,2012
21000000,comedy,silver linings playbook,7.8,2012
33000000,action,the benchwarmers,5.6,2006
85000000,adventure,102 dalmatians,4.8,2000
18000000,drama,labor day,6.9,2013
35000000,drama,radio flyer,6.9,1992
130000000,action,national treasure: book of secrets,6.5,2007
unknown,drama,talk to her,8.0,2002
unknown,comedy,today's special,6.7,2009
unknown,action,aces: iron eagle iii,3.5,1992
30000000,comedy,knocked up,7.0,2007
13000000,drama,la habitación,8.2,2015
3000000,comedy,the d train,5.0,2015
135000000,action,miami vice,6.0,2006
62000000,action,æon flux,5.5,2005
unknown,drama,tristan + isolde,6.9,2006
14000000,comedy,the thing called love,6.3,1993
unknown,comedy,truly madly deeply,7.3,1990
20000000,crime,21 grams,7.7,2003
unknown,drama,wings of desire,8.1,1987
unknown,comedy,cops and robbersons,5.0,1994
3000000,comedy,tim and eric's billion dollar movie,5.3,2012
unknown,action,the condemned,6.1,2007
70000000,drama,wolf,6.2,1994
unknown,comedy,santa with muscles,2.4,1996
unknown,crime,the counterfeiters,7.6,2007
40000000,comedy,ri¢hie ri¢h,5.3,1994
25000000,comedy,joe versus the volcano,5.7,1990
150000000,action,thor,7.0,2011
unknown,comedy,dom hemingway,6.2,2013
unknown,drama,close my eyes,6.4,1991
3000000,comedy,barfly,7.3,1987
3000000,drama,the disappearance of eleanor rigby: them,6.3,2014
25000000,action,the shadow,6.0,1994
unknown,comedy,doc hollywood,6.1,1991
12000000,crime,jackie brown,7.5,1997
30000000,comedy,i'll be home for christmas,5.4,1998
7400000,drama,melancolía,7.1,2011
3000000,comedy,parents,6.2,1989
unknown,comedy,kicking and screaming,7.0,1995
6000000,biography,the last king of scotland,7.7,2006
25000000,crime,no country for old men,8.1,2007
25000000,comedy,almost an angel,5.4,1990
3000000,comedy,dead alive,7.6,1992
unknown,crime,destiny turns on the radio,4.5,1995
85000000,action,fast & furious,6.6,2009
unknown,action,wild hogs,5.9,2007
60000000,comedy,jingle all the way,5.5,1996
16000000,drama,single white female,6.3,1992
35000000,action,spy kids,5.4,2001
unknown,drama,norman,6.3,2016
15000000,comedy,the artist,7.9,2011
unknown,crime,headhunters,7.6,2011
unknown,comedy,water drops on burning rocks,6.9,2000
20000000,comedy,bad moms,6.2,2016
unknown,animation,balto,7.1,1995
unknown,drama,starlet,6.8,2012
12000000,comedy,the naked gun: from the files of police squad!,7.6,1988
unknown,comedy,killer party,4.7,1986
4000000,sci-fi,the return of swamp thing,4.5,1989
170000000,action,guardians of the galaxy,8.1,2014
unknown,animation,greedy guts,7.4,2000
9000000,action,all is lost,6.9,2013
6000000,adventure,the wizard,6.0,1989
unknown,adventure,sex and zen,5.8,1991
28000000,action,30 minutos o menos,6.1,2011
102000000,action,minority report,7.7,2002
unknown,drama,the cement garden,7.2,1993
10000000,drama,mo' better blues,6.6,1990
5000000,biography,dallas buyers club,8.0,2013
unknown,drama,amor o sexo,6.8,2004
unknown,drama,eros,6.0,2004
unknown,crime,pusher,7.4,1996
35000000,comedy,the other sister,6.5,1999
unknown,horror,v/h/s/2,6.1,2013
unknown,biography,my left foot,7.9,1989
75000000,drama,unbreakable,7.2,2000
unknown,comedy,saint ralph,7.6,2004
unknown,comedy,stuart saves his family,5.3,1995
60000000,animation,the boxtrolls,6.8,2014
8000000,drama,passion play,5.0,2010
unknown,drama,mysterious skin,7.7,2004
unknown,comedy,free enterprise,7.0,1998
1000000,horror,you're next,6.5,2011
unknown,drama,square dance,6.1,1987
28000000,action,the spy next door,5.4,2010
10000000,action,the iceman,6.9,2012
unknown,comedy,the story of qiu ju,7.6,1992
1500000,comedy,hatchet,5.7,2006
15000000,drama,lust caution,7.6,2007
3500000,crime,surveillance,6.4,2008
unknown,adventure,wagons east,4.7,1994
22000000,comedy,an american werewolf in paris,5.1,1997
65000000,drama,we are marshall,7.1,2006
19000000,comedy,arizona dream,7.4,1993
unknown,comedy,cb4,6.2,1993
unknown,drama,certain women,6.5,2016
4000000,drama,the loss of sexual innocence,5.4,1999
26000000,action,redline,4.0,2007
unknown,drama,welcome to the rileys,7.0,2010
unknown,crime,the girl who played with fire,7.2,2009
unknown,drama,at any price,5.7,2012
22000000,action,homefront,6.5,2013
43000000,action,the heat,6.6,2013
70000000,drama,saving private ryan,8.6,1998
20000000,animation,alpha and omega,5.3,2010
unknown,drama,the war,6.7,1994
175000000,comedy,evan almighty,5.4,2007
50000000,comedy,the big bounce,4.9,2004
29000000,comedy,frankie and johnny,6.7,1991
200000000,action,the amazing spider-man 2,6.7,2014
25000000,crime,beyond a reasonable doubt,5.9,2009
170000000,action,thor: the dark world,7.0,2013
unknown,drama,river of grass,6.5,1994
8000000,comedy,fletch lives,6.1,1989
unknown,comedy,ginger and fred,7.3,1986
18000000,action,hard target,6.1,1993
12000000,comedy,lars and the real girl,7.4,2007
unknown,action,dead bang,6.1,1989
7500000,comedy,look who's talking,5.8,1989
40000000,action,the mechanic,6.6,2011
45000000,action,resident evil: apocalypse,6.2,2004
unknown,crime,higher learning,6.5,1995
25000000,animation,shaun the sheep movie,7.4,2015
144000000,action,ghostbusters,5.3,2016
unknown,adventure,asterix and obelix vs. caesar,5.9,1999
3000000,drama,sepultado,7.0,2010
15000000,crime,drive,7.8,2011
30000000,comedy,like mike,5.1,2002
unknown,comedy,body slam,5.3,1986
unknown,drama,olivier olivier,7.7,1992
32000000,action,repo men,6.3,2010
45000000,action,the river wild,6.3,1994
24000000,comedy,piranha 3d,5.5,2010
25000000,adventure,tai-pan,5.5,1986
unknown,action,north shore,6.5,1987
24000000,drama,gossip,5.9,2000
unknown,comedy,plump fiction,2.7,1997
1500000,comedy,cabin fever,5.6,2002
18000000,crime,the salton sea,7.2,2002
unknown,comedy,mediterraneo,7.4,1991
5000000,action,dead heat,6.0,1988
700000,comedy,women on the verge of a nervous breakdown,7.6,1988
unknown,comedy,sordid lives,6.8,2000
42000000,action,here comes the boom,6.4,2012
unknown,comedy,adam's apples,7.8,2005
unknown,romance,36 fillette,6.0,1988
14400000,drama,unforgiven,8.2,1992
unknown,crime,fireworks,7.9,1997
9000000,comedy,the upside of anger,6.9,2005
unknown,action,surf ninjas,5.0,1993
35000000,drama,bounce,5.7,2000
15000000,comedy,it runs in the family,5.7,1994
20000000,comedy,husbands and wives,7.6,1992
25000000,crime,goodfellas,8.7,1990
11000000,drama,el pasado,7.8,2013
15000000,crime,the last house on the left,6.6,2009
60000000,comedy,analyze that,5.9,2002
17000000,comedy,away we go,7.1,2009
1500000,crime,killing zoe,6.5,1993
12000000,comedy,ace ventura: pet detective,6.9,1994
40000000,comedy,blended,6.5,2014
unknown,drama,remember,7.4,2015
12000000,comedy,noises off...,7.5,1992
28000000,action,formula 51,6.3,2001
28000000,biography,hollywoodland,6.5,2006
16000000,comedy,when harry met sally...,7.6,1989
48000000,adventure,rat race,6.4,2001
3500000,crime,empire,6.0,2002
unknown,comedy,unstrung heroes,6.7,1995
6000000,drama,the words,7.1,2012
unknown,drama,true believer,6.7,1989
60000000,comedy,hanging up,4.8,2000
11000000,comedy,sugar & spice,5.6,2001
70000000,adventure,seven years in tibet,7.0,1997
5000000,horror,apollo 18,5.2,2011
13000000,biography,en el nombre del padre,8.1,1993
95000000,animation,the road to el dorado,6.9,2000
57000000,drama,all the pretty horses,5.8,2000
unknown,adventure,cabin boy,5.1,1994
250000,drama,like crazy,6.7,2011
85000000,comedy,little nicky,5.3,2000
25000000,animation,igor,6.0,2008
unknown,comedy,corrina corrina,6.5,1994
35000000,crime,blood in blood out,8.0,1993
unknown,comedy,who's harry crumb?,5.8,1989
6000000,drama,beasts of no nation,7.8,2015
unknown,action,the substitute,5.9,1996
4000000,comedy,dirty girl,6.5,2010
unknown,comedy,dil chahta hai,8.2,2001
115000000,animation,monsters inc.,8.1,2001
unknown,action,taxi,6.9,1998
unknown,drama,prospero's books,6.9,1991
7300000,animation,persépolis,8.1,2007
unknown,action,kickboxer 2: the road back,4.5,1991
unknown,drama,mothers and daughters,4.9,2016
unknown,animation,vampire hunter d: bloodlust,7.7,2000
11000000,comedy,american pie,7.0,1999
25000000,comedy,¡three amigos!,6.4,1986
15000000,comedy,twins,6.0,1988
unknown,comedy,suits,4.2,1999
unknown,comedy,how to make love to a negro without getting tired,4.6,1989
unknown,drama,shining through,6.4,1992
30000000,action,unknown,6.9,2011
15000000,biography,diana,5.5,2013
55000000,drama,lucky you,5.9,2007
unknown,drama,oscar and lucinda,6.7,1997
unknown,drama,storyville,5.8,1992
25000000,action,teenage mutant ninja turtles ii: the secret of the ooze,6.0,1991
3800000,horror,tamara,5.2,2005
unknown,comedy,zombie high,4.2,1987
20000000,adventure,princesa por accidente,5.8,2011
18000000,drama,rich in love,6.3,1992
unknown,comedy,malèna,7.5,2000
25000000,comedy,i.q.,6.2,1994
20000000,comedy,georgia rule,5.9,2007
unknown,biography,chuck,6.5,2016
unknown,drama,vital signs,5.4,1990
unknown,comedy,little voice,7.0,1998
10000000,biography,the runaways,6.6,2010
7500000,drama,driving miss daisy,7.4,1989
25000000,drama,august: osage county,7.2,2013
10000000,action,the good the bad the weird,7.3,2008
unknown,action,mesrine part 1: killer instinct,7.6,2008
40000000,drama,impostor,6.2,2001
unknown,drama,signs of life,6.3,1989
10000000,horror,the lawnmower man,5.4,1992
unknown,comedy,las aventuras de priscilla reina del desierto,7.5,1994
64000000,drama,random hearts,5.1,1999
14000000,adventure,a perfect getaway,6.5,2009
5000000,mystery,the guest,6.7,2014
50000000,drama,knowing,6.2,2009
unknown,comedy,waiting for the light,6.0,1990
unknown,crime,the monkey's mask,5.1,2000
35000000,comedy,the intern,7.1,2015
10000000,drama,dangerous game,5.7,1993
18000000,comedy,orange county,6.2,2002
2000000,drama,como agua para chocolate,7.2,1992
10000000,action,shaolin soccer,7.3,2001
25000000,drama,great expectations,6.8,1998
19000000,comedy,the couch trip,5.7,1988
8500000,drama,swimfan,5.0,2002
unknown,comedy,rude awakening,4.4,1989
2700000,drama,before sunset,8.0,2004
unknown,drama,extremities,6.3,1986
127000000,adventure,night at the museum: secret of the tomb,6.2,2014
60000000,comedy,norbit,4.0,2007
unknown,comedy,ruthless people,6.9,1986
50000000,biography,nixon,7.1,1995
unknown,adventure,shadow of the wolf,5.7,1992
4500000,crime,character,7.8,1997
unknown,drama,germinal,7.1,1993
40000000,comedy,get hard,6.0,2015
1000000,comedy,hello my name is doris,6.7,2015
3500000,crime,fresh,7.6,1994
unknown,comedy,frank,7.0,2014
unknown,comedy,crossing the bridge,6.4,1992
100000,drama,tape,7.3,2001
84000000,comedy,son of the mask,2.2,2005
12000000,biography,bride of the wind,5.7,2001
15000000,comedy,drop dead gorgeous,6.6,1999
500000,comedy,rubber,5.8,2010
110000000,action,the patriot,7.2,2000
12000000,comedy,think like a man,6.6,2012
35000000,action,the count of monte cristo,7.7,2002
20000000,action,pathfinder,5.4,2007
16000000,animation,pokémon 3: the movie,5.7,2000
unknown,action,wild america,6.3,1997
25000000,drama,chocolat,7.3,2000
unknown,adventure,tommy boy,7.1,1995
unknown,horror,leatherface: texas chainsaw massacre iii,5.2,1990
78000000,animation,cloudy with a chance of meatballs 2,6.4,2013
15000000,action,scouts guide to the zombie apocalypse,6.3,2015
unknown,biography,the edge of love,6.3,2008
unknown,crime,green street hooligans,7.5,2005
40000000,comedy,what to expect when you're expecting,5.7,2012
unknown,comedy,don't tell mom the babysitter's dead,6.1,1991
3500000,horror,dark skies,6.3,2013
10000000,comedy,demolition,7.0,2015
3000000,comedy,rumpelstiltskin,4.4,1995
36000000,drama,collateral beauty,6.8,2016
unknown,drama,tiger warsaw,4.7,1988
unknown,drama,sommersby,6.1,1993
20000000,adventure,the brothers bloom,6.8,2008
unknown,comedy,satisfaction,4.8,1988
30000000,action,the living daylights,6.7,1987
15000000,action,snitch,6.5,2013
unknown,drama,strapless,5.8,1989
35000000,action,parker,6.2,2013
50000000,crime,twisted,5.2,2004
65000000,drama,mona lisa smile,6.4,2003
10000000,drama,love jones,7.4,1997
46000000,adventure,silence,7.2,2016
35000000,biography,concussion,7.1,2015
23000000,comedy,take me home tonight,6.3,2011
50000000,action,hansel y gretel: cazadores de brujas,6.1,2013
30000000,action,ultraviolet,4.4,2006
40000000,action,in the line of fire,7.2,1993
8000000,action,the boondock saints ii: all saints day,6.3,2009
12000000,comedy,barbershop,6.3,2002
unknown,drama,a summer story,7.5,1988
63000000,adventure,wyatt earp,6.7,1994
68000000,drama,enemy at the gates,7.6,2001
unknown,comedy,the last supper,6.8,1995
8000000,comedy,mr. church,7.7,2016
2000000,drama,god's not dead,4.8,2014
unknown,crime,wisdom,5.7,1987
58000000,biography,a beautiful mind,8.2,2001
unknown,comedy,cold feet,4.7,1989
unknown,animation,freddie as f.r.o.7.,5.1,1992
unknown,comedy,police academy 4: citizens on patrol,4.8,1987
26000000,action,paul blart: mall cop,5.2,2009
22000000,action,the net,5.9,1995
3500000,crime,above the rim,6.6,1994
43000000,drama,a monster calls,7.5,2016
unknown,drama,little dorrit,7.5,1987
70000000,action,die hard 2,7.1,1990
30000000,crime,gloria,5.1,1999
30000000,action,virtuosity,5.6,1995
unknown,drama,distant voices still lives,7.5,1988
3000000,comedy,real women have curves,7.0,2002
unknown,crime,the tribe,7.1,2014
1100000,comedy,down by law,7.8,1986
unknown,adventure,valhalla rising,6.0,2009
53000000,biography,black mass,6.9,2015
40000000,biography,get rich or die tryin',5.1,2005
unknown,comedy,undercover blues,6.0,1993
140000000,action,pearl harbor,6.1,2001
17700000,adventure,joe dirt,5.9,2001
25000000,action,the grey,6.8,2011
unknown,family,happily ever after,5.1,1990
3000000,crime,maria full of grace,7.5,2004
unknown,drama,beau travail,7.4,1999
25000000,action,anacondas: the hunt for the blood orchid,4.6,2004
unknown,drama,atanarjuat: the fast runner,7.5,2001
26000000,action,self/less,6.5,2015
9500000,crime,trust,6.9,2010
14000000,comedy,an ideal husband,6.9,1999
20000000,comedy,everyone says i love you,6.8,1996
6000000,drama,eight men out,7.3,1988
110000000,adventure,miss peregrine's home for peculiar children,6.7,2016
200000,comedy,spanking the monkey,6.3,1994
25000000,comedy,mother's day,5.6,2016
30000000,horror,mimic,5.9,1997
80000000,comedy,ni en tu casa ni en la mía,5.6,2008
11000000,crime,dead man walking,7.6,1995
unknown,comedy,who's the man?,5.5,1993
13000000,comedy,illegally yours,4.2,1988
2400000,comedy,life after beth,5.6,2014
unknown,drama,daughters of the dust,6.5,1991
75000000,comedy,hairspray,6.7,2007
20000000,crime,johnny handsome,6.1,1989
45000000,action,flight of the phoenix,6.1,2004
unknown,drama,pola x,5.8,1999
30000000,comedy,love & other drugs,6.7,2010
75000000,action,con air,6.8,1997
unknown,action,kuffs,5.8,1992
23000000,adventure,alaska,5.7,1996
23000000,comedy,someone like you...,6.1,2001
14000000,comedy,cop & ½,3.9,1993
100000000,fantasy,sleepy hollow,7.4,1999
unknown,drama,the son's room,7.4,2001
unknown,drama,sarafina!,6.4,1992
unknown,comedy,and you thought your parents were weird,4.5,1991
61000000,action,maze runner: the scorch trials,6.3,2015
30000000,comedy,must love dogs,5.9,2005
17000000,horror,jeepers creepers ii,5.6,2003
unknown,comedy,a good old fashioned orgy,6.2,2011
3700000,crime,unknown,6.5,2006
9000000,horror,split,7.3,2016
38000000,action,texas rangers,5.2,2001
250000,comedy,chuck & buck,6.6,2000
80000000,action,batman returns,7.0,1992
21000000,comedy,the royal tenenbaums,7.6,2001
28000000,comedy,mystery alaska,6.7,1999
unknown,biography,romero,7.3,1989
unknown,comedy,*batteries not included,6.6,1987
unknown,adventure,the kings of summer,7.2,2013
25000000,drama,dear john,6.3,2010
8000000,crime,city of industry,6.2,1997
unknown,drama,the hanoi hilton,6.0,1987
63000000,comedy,lucky numbers,5.0,2000
22000000,drama,before i go to sleep,6.3,2014
22000000,comedy,diary of a wimpy kid: dog days,6.3,2012
2500000,comedy,garden state,7.5,2004
60000000,animation,alvin and the chipmunks,5.2,2007
unknown,drama,tierra de sueños,7.8,2002
1500000,crime,nine queens,7.9,2000
2000000,comedy,blue in the face,6.7,1995
unknown,drama,tale of tales,6.4,2015
110000000,action,the a-team,6.8,2010
15000000,horror,the dark half,5.9,1993
unknown,action,easy money,6.7,2010
60000000,drama,beautiful creatures,6.2,2013
5250000,horror,bats,3.7,1999
24000000,drama,fences,7.2,2016
42000000,drama,the forgotten,5.8,2004
7000000,comedy,ghost world,7.4,2001
5000000,crime,light sleeper,6.9,1992
60000000,action,the art of war,5.7,2000
13000000,comedy,paris je t'aime,7.3,2006
unknown,drama,the claim,6.5,2000
30000000,animation,the tigger movie,6.3,2000
110000000,action,real steel,7.1,2011
17000000,action,road house,6.5,1989
unknown,action,walking with the enemy,6.0,2013
6000000,drama,the good doctor,5.6,2011
38000000,action,spy kids 3: game over,4.2,2003
15000000,horror,tierra de los muertos,6.2,2005
unknown,adventure,the motorcycle diaries,7.8,2004
unknown,comedy,charlotte's web,6.3,2006
15000000,comedy,the rocker,6.2,2008
150000000,adventure,harry potter and the order of the phoenix,7.5,2007
unknown,comedy,8 women,7.1,2002
33000000,drama,step up revolution,6.5,2012
unknown,comedy,rory o'shea was here,7.9,2004
unknown,drama,gas food lodging,6.7,1992
150000000,action,batman begins,8.3,2005
unknown,comedy,this must be the place,6.7,2011
unknown,action,the assignment,6.9,1997
16000000,comedy,the beautician and the beast,5.3,1997
6000000,comedy,the people under the stairs,6.3,1991
unknown,comedy,the allnighter,4.0,1987
25000000,sci-fi,the arrival,6.3,1996
25000000,crime,michael clayton,7.3,2007
11000000,comedy,the sixth man,5.6,1997
12000000,biography,a home of our own,7.1,1993
60000000,action,priest,5.7,2011
unknown,action,acusado sin razón,6.1,1998
unknown,comedy,the war of the roses,6.8,1989
unknown,drama,rachel getting married,6.7,2008
unknown,drama,the guardian,5.3,1990
250000,comedy,lovely & amazing,6.9,2001
23000000,adventure,jaws: the revenge,2.9,1987
35000000,action,underworld: rise of the lycans,6.6,2009
